id,name,encoder,decoder,muxer,demuxer,protocol,bitfilter,filter,parser,hwaccel,indev,outdev
516,vp6a,,1,,,,,,,,,
325,vp6f,,1,,,,,,,,,
165,vp8,,1,,,,,,1,,,
130,vqa,,1,,,,,,,,,
482,vqf,,,,1,,,,,,,
289,w64,,,,1,,,,,,,
96,wav,,,1,1,,,,,,,
464,wavpack,,1,,,,,,,,,
429,wc3,,,,1,,,,,,,
413,webm,,,1,,,,,,,,
272,wmapro,,1,,,,,,,,,
163,wmav1,1,1,,,,,,,,,
496,wmav2,1,1,,,,,,,,,
77,wmavoice,,1,,,,,,,,,
303,wmv1,1,1,,,,,,,,,
108,wmv2,1,1,,,,,,,,,
411,wmv3,,1,,,,,,,,,
219,wmv3_crystalhd,,1,,,,,,,,,
391,wmv3_dxva2,,,,,,,,,1,,
197,wmv3_vaapi,,,,,,,,,1,,
27,wmv3_vdpau,,1,,,,,,,,,
359,wnv1,,1,,,,,,,,,
166,ws_snd1,,1,,,,,,,,,
237,wsaud,,,,1,,,,,,,
44,wsvqa,,,,1,,,,,,,
378,wtv,,,,1,,,,,,,
184,wv,,,,1,,,,,,,
476,x11_grab_device,,,,,,,,,,1,
518,xa,,,,1,,,,,,,
500,xan_dpcm,,1,,,,,,,,,
306,xan_wc3,,1,,,,,,,,,
115,xan_wc4,,1,,,,,,,,,
448,xl,,1,,,,,,,,,
278,xlibfaac,1,,,,,,,,,,
445,xsub,1,1,,,,,,,,,
326,xwma,,,,1,,,,,,,
403,yadif,,,,,,,1,,,,
135,yop,,1,,1,,,,,,,
466,yuv4mpegpipe,,,1,1,,,,,,,
250,zlib,1,1,,,,,,,,,
57,zmbv,1,1,,,,,,,,,
